							Integrated Y1	Integrated Y 2	Integrated Y 3
	20120613_Lumatec2_Filter0_5cm_geringe_Leitstung_0.7W.txt	20120613_Lumatec2_Filter3_5cm_geringe_Leistung_0.36W.txt	20120623_Lumatec2_Filter1_5cm_geringeLeistung_0.39W.txt		Lumatec 2 Filter 3 skaliert		20120613_Lumatec2_Filter0_5cm_geringe_Leitstung_0.7W.txt	20120613_Lumatec2_Filter3_5cm_geringe_Leistung_0.36W.txt	20120623_Lumatec2_Filter1_5cm_geringeLeistung_0.39W.txt
733,29	3,8009	3,0884	0,14385		1,5442		149345,6558065	61774,2825782	117800,8242808
734,04	3,3376	3,4417	0,14535		1,72085		149348,332744	61776,7313657	117800,9327308
734,79	2,9358	3,8462	0,14388		1,9231		149350,685269	61779,4643282	117801,04119205
735,54	2,5894	4,3016	0,14352		2,1508		149352,757219	61782,5197532	117801,14896705
736,29	2,2965	4,8235	0,14532		2,41175		149354,5894315	61785,9416657	117801,25728205
737,04	2,0416	5,4162	0,14521		2,7081		149356,216219	61789,7815532	117801,3662308
737,79	1,8199	6,092	0,14491		3,046		149357,6642815	61794,0971282	117801,4750258
738,54	1,6332	6,8702	0,14683		3,4351		149358,959194	61798,9579532	117801,5844283
739,29	1,4759	7,7426	0,14721		3,8713		149360,1251065	61804,4377532	117801,6946933
740,03	1,3383	8,718	0,14497		4,359		149361,1663605	61810,5281752	117801,8027999
740,78	1,2185	9,7702	0,14375		4,8851		149362,1251605	61817,4612502	117801,9110699
741,53	1,1205	10,868	0,14191		5,434		149363,0022855	61825,2005752	117802,0181924
742,28	1,0306	11,955	0,1409		5,9775		149363,808948	61833,7592002	117802,12424615
743,03	0,95616	12,965	0,14384		6,4825		149364,553983	61843,1042002	117802,23102365
743,78	0,89429	13,841	0,14494		6,9205		149365,24790175	61853,1564502	117802,33931615
744,53	0,83974	14,521	0,14513		7,2605		149365,898163	61863,7922002	117802,4480924
745,28	0,78901	14,992	0,14164		7,496		149366,50894425	61874,8595752	117802,55563115
746,02	0,74545	15,235	0,14104		7,6175		149367,07669445	61886,0435652	117802,66022275
746,77	0,70804	15,242	0,14016		7,621		149367,6217532	61897,4724402	117802,76567275
747,52	0,671	15,021	0,14009		7,5105		149368,1388932	61908,8210652	117802,8707665
748,27	0,64076	14,585	0,14016		7,2925		149368,6308032	61919,9233152	117802,97586025
749,02	0,61454	13,961	0,1385		6,9805		149369,1015407	61930,6280652	117803,08035775
749,77	0,59046	13,184	0,13955		6,592		149369,5534157	61940,8074402	117803,1846265
750,51	0,56996	12,321	0,13823		6,1605		149369,9827711	61950,2442902	117803,2874051
751,26	0,5489	11,436	0,13575		5,718		149370,4023436	61959,1531652	117803,3901476
752,01	0,53202	10,592	0,13545		5,296		149370,8076886	61967,4136652	117803,4918476
752,76	0,51211	9,8352	0,13365		4,9176		149371,19923735	61975,0738652	117803,5927601
753,5	0,49821	9,186	0,13871		4,593		149371,57305575	61982,1117092	117803,6935333
754,25	0,4808	8,6544	0,13728		4,3272		149371,9401845	61988,8018592	117803,79702955
755	0,46952	8,2262	0,13839		4,1131		149372,2965545	61995,1320842	117803,9004058
755,75	0,46262	7,9101	0,14076		3,95505		149372,646107	62001,1831967	117804,00508705
756,49	0,45502	7,6719	0,14505		3,83595		149372,9856338	62006,9485367	117804,11083675
757,24	0,44714	7,5079	0,14791		3,75395		149373,3239438	62012,6409617	117804,22069675
757,99	0,43362	7,4035	0,14449		3,70175		149373,6542288	62018,2327367	117804,33034675
758,74	0,42302	7,3571	0,14624		3,67855		149373,9754688	62023,7679617	117804,4393705
759,48	0,41553	7,3644	0,14964		3,6822		149374,2857323	62029,2149167	117804,5488461
760,23	0,40447	7,4153	0,15159		3,70765		149374,5932323	62034,7573042	117804,66180735
760,98	0,39886	7,5148	0,15587		3,7574		149374,89448105	62040,3560917	117804,77710485
761,72	0,39073	7,6524	0,15678		3,8262		149375,18662935	62045,9679557	117804,89278535
762,47	0,38776	7,8238	0,16313		3,9119		149375,4785631	62051,7715307	117805,0127516
763,22	0,38022	8,0379	0,16788		4,01895		149375,7665556	62057,7196682	117805,13688035
763,96	0,3725	8,2744	0,17216		4,1372		149376,045062	62063,7552192	117805,26269515
764,71	0,36445	8,5538	0,17517		4,2769		149376,32141825	62070,0657942	117805,3929439
765,46	0,35554	8,8602	0,18114		4,4301		149376,5914145	62076,5960442	117805,52656015
766,2	0,3517	9,2052	0,19028		4,6026		149376,8530933	62083,2802422	117805,66398555
766,95	0,34635	9,5771	0,19763		4,78855		149377,11486205	62090,3236047	117805,8094518
767,7	0,34196	9,9687	0,20236		4,98435		149377,3729783	62097,6532797	117805,95944805
768,44	0,34087	10,386	0,20944		5,193		149377,6256254	62105,1845187	117806,11181405
769,19	0,33668	10,818	0,21775		5,409		149377,87970665	62113,1360187	117806,2720103
769,93	0,33451	11,263	0,22495		5,6315		149378,12804695	62121,3059887	117806,4358093
770,68	0,32913	11,708	0,22834		5,854		149378,37691195	62129,9201137	117806,60579305
771,43	0,32539	12,148	0,23223		6,074		149378,62235695	62138,8661137	117806,7785068
772,17	0,32503	12,571	0,23517		6,2855		149378,86301235	62148,0121437	117806,9514448
772,92	0,32389	12,966	0,23782		6,483		149379,10635735	62157,5885187	117807,12881605
773,66	0,32127	13,326	0,23681		6,663		149379,34506655	62167,3165587	117807,30442915
774,41	0,32175	13,643	0,23788		6,8215		149379,58619905	62177,4299337	117807,4824379
775,15	0,32101	13,905	0,23808		6,9525		149379,82402025	62187,6226937	117807,6585431
775,9	0,31883	14,111	0,2384		7,0555		149380,06396025	62198,1286937	117807,8372231
776,64	0,31407	14,251	0,23632		7,1255		149380,29813325	62208,6226337	117808,0128695
777,39	0,30866	14,327	0,23051		7,1635		149380,531657	62219,3393837	117808,18793075
778,13	0,30619	14,332	0,22883		7,166		149380,7591515	62229,9432137	117808,35788655
778,88	0,30235	14,276	0,22646		7,138		149380,987354	62240,6712137	117808,5286203
779,62	0,29931	14,157	0,22353		7,0785		149381,2099682	62251,1914237	117808,6951166
780,37	0,29517	13,993	0,22108		6,9965		149381,4328982	62261,7476737	117808,86184535
781,11	0,29118	13,774	0,21895		6,887		149381,6498477	62272,0214637	117809,02465645
781,86	0,29212	13,525	0,22018		6,7625		149381,8685852	62282,2585887	117809,1893302
782,6	0,28901	13,247	0,21948		6,6235		149382,0836033	62292,1642287	117809,3520044
783,35	0,28959	12,947	0,21807		6,4735		149382,3005783	62301,9869787	117809,51608565
784,09	0,28701	12,639	0,21843		6,3195		149382,5139203	62311,4537987	117809,67759065
784,84	0,28866	12,32	0,22021		6,16		149382,72979655	62320,8134237	117809,84208065
785,58	0,29209	12,011	0,22466		6,0055		149382,94467405	62329,8158937	117810,00668255
786,32	0,29465	11,711	0,22522		5,8555		149383,16176785	62338,5930337	117810,17313815
787,07	0,29527	11,421	0,22543		5,7105		149383,38298785	62347,2675337	117810,3421319
787,81	0,29351	11,148	0,22757		5,574		149383,60083645	62355,6180637	117810,5097419
788,56	0,28757	10,891	0,22772		5,4455		149383,81874145	62363,8826887	117810,68047565
789,3	0,28558	10,663	0,22861		5,3315		149384,03080695	62371,8576687	117810,84931775
790,04	0,28199	10,456	0,23044		5,228		149384,24080785	62379,6716987	117811,01916625
790,79	0,27856	10,273	0,23392		5,1365		149384,4510141	62387,4450737	117811,19330125
791,53	0,27523	10,121	0,23882		5,0605		149384,6559164	62394,9908537	117811,36821505
792,27	0,27828	9,9836	0,24669		4,9918		149384,8607151	62402,4295557	117811,54785375
793,02	0,27516	9,8721	0,25226		4,93605		149385,0682551	62409,8754432	117811,73496
793,76	0,27424	9,7771	0,25861		4,88855		149385,2715331	62417,1456472	117811,9239819
794,5	0,26963	9,7021	0,26557		4,85105		149385,472765	62424,3529512	117812,1179285
795,25	0,27122	9,6573	0,27659		4,82865		149385,67558375	62431,6127262	117812,3212385
795,99	0,27105	9,6295	0,28554		4,81475		149385,87622365	62438,7488422	117812,5292266
796,73	0,27314	9,6218	0,29904		4,8109		149386,07757395	62445,8718232	117812,7455212
797,48	0,27426	9,6257	0,31352		4,81285		149386,28284895	62453,0896357	117812,9752312
798,22	0,27478	9,6435	0,32823		4,82175		149386,48599375	62460,2192397	117813,2126787
798,96	0,27812	9,6712	0,34586		4,8356		149386,69056675	62467,3656787	117813,462092
799,71	0,27969	9,7114	0,36221		4,8557		149386,8997455	62474,6341537	117813,72761825
800,45	0,28087	9,7742	0,38037		4,8871		149387,1071527	62481,8438257	117814,00237285
801,19	0,28312	9,8477	0,40158		4,92385		149387,315829	62489,1039287	117814,29169435
801,93	0,27922	9,9368	0,41997		4,9684		149387,5238948	62496,4241937	117814,59566785
802,68	0,27894	10,035	0,44136		5,0175		149387,7332048	62503,9136187	117814,9186666
803,42	0,27648	10,144	0,46157		5,072		149387,9387102	62511,3798487	117815,2527507
804,16	0,27795	10,257	0,48998		5,1285		149388,1438493	62518,9282187	117815,6048242
804,9	0,28196	10,381	0,52018		5,1905		149388,351016	62526,5642787	117815,9785834
805,65	0,28418	10,513	0,55321		5,2565		149388,5633185	62534,3995287	117816,38110465
806,39	0,28769	10,657	0,58688		5,3285		149388,7749104	62542,2324287	117816,80293795
807,13	0,2998	10,803	0,63011		5,4015		149388,9922817	62550,1726287	117817,25322425
807,87	0,30813	10,948	0,67495		5,474		149389,2172158	62558,2204987	117817,73609645
808,61	0,30875	11,079	0,71641		5,5395		149389,4454614	62566,3704887	117818,25089965
809,35	0,30741	11,205	0,75706		5,6025		149389,6734406	62574,6155687	117818,79608355
810,1	0,31015	11,327	0,80178		5,6635		149389,9050256	62583,0650687	117819,38064855
810,84	0,31056	11,445	0,85419		5,7225		149390,1346883	62591,4907087	117819,99335745
811,58	0,3123	11,537	0,91113		5,7685		149390,3651465	62599,9940487	117820,64652585
812,32	0,31168	11,613	0,9645		5,8065		149390,5960191	62608,5595487	117821,34050895
813,06	0,30775	11,668	1,0184		5,834		149390,8252082	62617,1735187	117822,07418195
813,8	0,30461	11,706	1,0767		5,853		149391,0517814	62625,8218987	117822,84936895
814,54	0,29931	11,719	1,1383		5,8595		149391,2752318	62634,4891487	117823,66891895
815,29	0,28653	11,699	1,1965		5,8495		149391,4949218	62643,2708987	117824,54446895
816,03	0,2793	11,648	1,2591		5,824		149391,7042789	62651,9092887	117825,45304095
816,77	0,27434	11,573	1,3231		5,7865		149391,9091257	62660,5010587	117826,40845495
817,51	0,27561	11,473	1,3903		5,7365		149392,1126072	62669,0280787	117827,41241295
818,25	0,27406	11,33	1,4607		5,665		149392,3159851	62677,4651887	117828,46728295
818,99	0,27507	11,157	1,5272		5,5785		149392,5191632	62685,7853787	117829,57280595
819,73	0,27386	10,952	1,5928		5,476		149392,7222673	62693,9657087	117830,72720595
820,47	0,27277	10,723	1,6606		5,3615		149392,9245204	62701,9854587	117831,93096395
821,21	0,27399	10,455	1,7265		5,2275		149393,1268216	62709,8213187	117833,18419095
821,95	0,27412	10,163	1,7847		5,0815		149393,3296223	62717,4499787	117834,48333495
822,69	0,27834	9,8359	1,8434		4,91795		149393,5340325	62724,8495717	117835,82573195
823,43	0,27691	9,4951	1,8902		4,74755		149393,739475	62732,0020417	117837,20716395
824,17	0,27307	9,1258	1,9312		4,5629		149393,9429676	62738,8917747	117838,62108195
824,91	0,27208	8,7437	1,973		4,37185		149394,1446731	62745,5034897	117840,06563595
825,65	0,27304	8,3462	2,0083		4,1731		149394,3463675	62751,8267527	117841,53871695
826,39	0,27601	7,9386	2,0364		3,9693		149394,549516	62757,8521287	117843,03525595
827,13	0,27721	7,5158	2,0567		3,7579		149394,7542074	62763,5702567	117844,54970295
827,87	0,27528	7,0881	2,0647		3,54405		149394,9586287	62768,9736997	117846,07462095
828,61	0,27741	6,6558	2,0608		3,3279		149395,163124	62774,0589427	117847,60105595
829,35	0,27808	6,2321	2,0476		3,11605		149395,3686553	62778,8274657	117849,12116395
830,09	0,27447	5,81	2,0213		2,905		149395,5730988	62783,2830427	117850,62665695
830,83	0,27249	5,4059	1,9915		2,70295		149395,775474	62787,4329257	117852,11139295
831,57	0,26696	5,0019	1,9496		2,50095		149395,9750705	62791,2838117	117853,56959995
832,31	0,26728	4,6308	1,9081		2,3154		149396,1727393	62794,8479107	117854,99694895
833,05	0,2692	4,2747	1,858		2,13735		149396,3712369	62798,1429457	117856,39040595
833,79	0,26347	3,9355	1,8033		1,96775		149396,5683248	62801,1807197	117857,74508695
834,53	0,25962	3,618	1,7419		1,809		149396,7618681	62803,9755147	117859,05681095
835,27	0,25521	3,328	1,6766		1,664		149396,9523552	62806,5455347	117860,32165595
836	0,25533	3,0743	1,6175		1,53715		149397,1387023	62808,8823742	117861,52400245
836,74	0,25251	2,8376	1,5539		1,4188		149397,3266031	62811,0697772	117862,69742045
837,48	0,25319	2,6258	1,4959		1,3129		149397,5137121	62813,0912352	117863,82584645
838,22	0,25988	2,4384	1,444		1,2192		149397,703548	62814,9649892	117864,91360945
838,96	0,25665	2,2684	1,3839		1,1342		149397,8946641	62816,7065052	117865,95993245
839,7	0,26099	2,1265	1,3362		1,06325		149398,0861909	62818,3326182	117866,96636945
840,44	0,26151	1,9936	1,2811		0,9968		149398,2795159	62819,8570552	117867,93477045
841,17	0,25903	1,8738	1,2269		0,9369		149398,469513	62821,2686562	117868,85019045
841,91	0,25927	1,7712	1,1738		0,8856		149398,661284	62822,6173062	117869,73844945
842,65	0,25959	1,6845	1,1244		0,84225		149398,8532622	62823,8959152	117870,58878345
843,39	0,25723	1,6052	1,0749		0,8026		149399,0444856	62825,1131042	117871,40252445
844,13	0,26049	1,535	1,029		0,7675		149399,236042	62826,2749782	117872,18096745
844,86	0,2598	1,4744	0,98644		0,7372		149399,42594785	62827,3734092	117872,91660305
845,6	0,25815	1,4186	0,93811		0,7093		149399,61758935	62828,4438192	117873,62868655
846,34	0,24979	1,3626	0,8903		0,6813		149399,80552715	62829,4728632	117874,30519825
847,08	0,25092	1,3204	0,85051		0,6602		149399,99078985	62830,4655732	117874,94929795
847,81	0,25215	1,2743	0,80719		0,63715		149400,1744104	62831,4126387	117875,55435845
848,55	0,24904	1,2362	0,76815		0,6181		149400,3598507	62832,3415237	117876,13723425
849,29	0,24799	1,2008	0,72866		0,6004		149400,5437518	62833,2432137	117876,69105395
850,03	0,24525	1,1698	0,69042		0,5849		149400,7262506	62834,1203357	117877,21611355
850,76	0,24362	1,1425	0,65781		0,57125		149400,90468815	62834,9643252	117877,7082175
851,5	0,24763	1,1206	0,62974		0,5603		149401,08645065	62835,8016722	117878,184611
852,24	0,24352	1,0928	0,59821		0,5464		149401,26817615	62836,6206302	117878,6389525
852,98	0,24431	1,0743	0,57085		0,53715		149401,44867325	62837,4224572	117879,0715047
853,71	0,24355	1,0565	0,54703		0,52825		149401,62674215	62838,2001992	117879,4795309
854,45	0,24658	1,0405	0,52555		0,52025		149401,80809025	62838,9760892	117879,8763855
855,19	0,24605	1,0235	0,503		0,51175		149401,99036335	62839,7397692	117880,256949
855,92	0,24521	1,016	0,48234		0,508		149402,16967325	62840,4841867	117880,6165981
856,66	0,24918	1,0091	0,4678		0,50455		149402,35259755	62841,2334737	117880,9681499
857,4	0,24966	1,0015	0,45408		0,50075		149402,53716835	62841,9773957	117881,3092455
858,13	0,25236	0,99601	0,44211		0,498005		149402,72040565	62842,70648685	117881,63635485
858,87	0,25137	0,98817	0,42824		0,494085		149402,90678575	62843,44063345	117881,95838435
859,61	0,2488	0,98121	0,41305		0,490605		149403,09184865	62844,16930405	117882,26966165
860,34	0,24985	0,9767	0,40112		0,48835		149403,2738559	62844,8839412	117882,5668337
861,08	0,24793	0,9694	0,38888		0,4847		149403,4580345	62845,6039982	117882,8591337
861,81	0,2497	0,9686	0,38125		0,4843		149403,63966945	62846,3113682	117883,14023115
862,55	0,25081	0,96757	0,37329		0,483785		149403,82485815	62847,0277511	117883,41941095
863,29	0,25127	0,96513	0,36379		0,482565		149404,01062775	62847,7428501	117883,69213055
864,02	0,24869	0,96282	0,35633		0,48141		149404,19311315	62848,44655185	117883,95497435
864,76	0,24598	0,95805	0,34802		0,479025		149404,37614105	62849,15727375	117884,21558385
865,49	0,24425	0,95422	0,33878		0,47711		149404,555075	62849,8552523	117884,46626585
866,23	0,24742	0,9566	0,33644		0,4783		149404,7369929	62850,5622557	117884,71609725
866,96	0,24963	0,95705	0,32835		0,478525		149404,91841615	62851,26073795	117884,9587456
867,7	0,25371	0,95939	0,32674		0,479695		149405,10465195	62851,96982075	117885,2011289
868,44	0,25556	0,95931	0,3248		0,479655		149405,29308185	62852,67973975	117885,4421987
869,17	0,25812	0,95824	0,31975		0,47912		149405,48057505	62853,3796455	117885,67745945
869,91	0,25759	0,95582	0,31489		0,47791		149405,67138775	62854,0878477	117885,91227625
870,64	0,26073	0,95781	0,31604		0,478905		149405,86057455	62854,78632265	117886,1425657
871,38	0,2626	0,95629	0,31338		0,478145		149406,05420665	62855,49453965	117886,3754511
872,11	0,27015	0,95547	0,31608		0,477735		149406,2486604	62856,19233205	117886,605204
872,85	0,27391	0,95351	0,31516		0,476755		149406,4499626	62856,89865465	117886,8387628
873,58	0,28293	0,95432	0,32071		0,47716		149406,6532092	62857,5950126	117887,07085535
874,32	0,28665	0,94574	0,32091		0,47287		149406,8639538	62858,2980348	117887,30825475
875,05	0,29337	0,94079	0,32673		0,470395		149407,0756611	62858,98661825	117887,54464335
875,78	0,29252	0,92773	0,32737		0,463865		149407,28951095	62859,66862805	117887,78338985
876,52	0,29346	0,91704	0,32533		0,45852		149407,50632355	62860,35119295	117888,02488885
877,25	0,29438	0,90369	0,32777		0,451845		149407,72088515	62861,0157594	117888,26327035
877,99	0,29467	0,88642	0,32553		0,44321		149407,93883365	62861,6781001	117888,50499135
878,72	0,29345	0,86689	0,32226		0,433445		149408,15349745	62862,31805825	117888,7414347
879,46	0,29327	0,84367	0,32025		0,421835		149408,37058385	62862,95096545	117888,9791634
880,19	0,28964	0,8197	0,31939		0,40985		149408,583346	62863,5580955	117889,212632
880,92	0,29271	0,80162	0,32336		0,40081		149408,79590375	62864,1498773	117889,44723575
881,66	0,28866	0,77748	0,32107		0,38874		149409,01101065	62864,7341443	117889,68567485
882,39	0,28463	0,75818	0,31826		0,37909		149409,2202615	62865,2946602	117889,9190303
883,13	0,28151	0,7378	0,31608		0,3689		149409,4297333	62865,8481728	117890,1537361
883,86	0,28389	0,72017	0,318		0,360085		149409,6361043	62866,38033185	117890,3851753
884,59	0,28385	0,69915	0,32243		0,349575		149409,8433294	62866,89838365	117890,61893225
885,33	0,28598	0,68402	0,32573		0,34201		149410,0541665	62867,41015655	117890,85875145
886,06	0,28721	0,66545	0,32927		0,332725		149410,26338085	62867,9027131	117891,09782645
886,79	0,28872	0,65185	0,33481		0,325925		149410,4735953	62868,3835276	117891,34021565
887,53	0,28904	0,63745	0,34228		0,318725		149410,6873665	62868,8605686	117891,59073895
888,26	0,29154	0,62309	0,34638		0,311545		149410,8992782	62869,3206657	117891,84209985
888,99	0,29021	0,60568	0,34747		0,30284		149411,11161695	62869,76916675	117892,0953551
889,73	0,29566	0,59442	0,35558		0,29721		149411,32838885	62870,21320375	117892,3554836
890,46	0,29478	0,57406	0,35904		0,28703		149411,54389945	62870,63969895	117892,6163199
891,19	0,29402	0,55527	0,3635		0,277635		149411,75881145	62871,0519044	117892,880047
891,92	0,29028	0,5375	0,36277		0,26875		149411,97208095	62871,45076545	117893,14513555
892,66	0,2902	0,52669	0,36183		0,263345		149412,18685855	62871,84451575	117893,41323755
893,39	0,29259	0,51239	0,36509		0,256195		149412,3995769	62872,22377995	117893,67856335
894,12	0,29296	0,4959	0,36892		0,24795		149412,61330265	62872,5918058	117893,946477
894,86	0,2925	0,48232	0,36929		0,24116		149412,82992285	62872,9537472	117894,2196147
895,59	0,29454	0,47427	0,3707		0,237135		149413,04419245	62873,30290255	117894,48971105
896,32	0,28794	0,45723	0,36491		0,228615		149413,25679765	62873,64290005	117894,7582087
897,05	0,28199	0,43881	0,35924		0,219405		149413,4648221	62873,96995465	117895,02252345
897,78	0,27592	0,41825	0,34796		0,209125		149413,66845925	62874,28278155	117895,28065145
898,52	0,27765	0,40841	0,34537		0,204205		149413,87328015	62874,58864575	117895,53718355
899,25	0,27562	0,39353	0,34106		0,196765		149414,0752237	62874,88135385	117895,7877305
899,98	0,27615	0,38192	0,33837		0,19096		149414,27661975	62875,1643931	117896,03572245
900,71	0,27673	0,36808	0,33297		0,18404		149414,47842095	62875,4381431	117896,28076155
901,44	0,2736	0,35365	0,32856		0,176825		149414,6792914	62875,70157455	117896,52222
902,18	0,27218	0,34591	0,31894		0,172955		149414,88123	62875,96041175	117896,761795
902,91	0,27115	0,33104	0,31268		0,16552		149415,07954545	62876,2074985	117896,9923363
903,64	0,26995	0,31772	0,30472		0,15886		149415,27704695	62876,4442959	117897,2176873
904,37	0,27409	0,31177	0,29657		0,155885		149415,47562155	62876,67405975	117897,43715815
905,1	0,27867	0,30678	0,29609		0,15339		149415,67737895	62876,8998305	117897,65347905
905,83	0,27984	0,30073	0,29458		0,150365		149415,8812351	62877,12157165	117897,8690736
906,56	0,28151	0,292	0,28953		0,146		149416,08612785	62877,3379181	117898,08227375
907,3	0,28368	0,28554	0,28244		0,14277		149416,29524815	62877,5516079	117898,29390265
908,03	0,28434	0,27748	0,2753		0,13874		149416,50257545	62877,7571102	117898,49747775
908,76	0,28421	0,26949	0,2745		0,134745		149416,7100962	62877,95675425	117898,69815475
909,49	0,28359	0,26156	0,2625		0,13078		149416,9173432	62878,1505875	117898,89415975
910,22	0,28666	0,25435	0,26195		0,127175		149417,12548445	62878,33889465	117899,085584
910,95	0,28823	0,24806	0,25252		0,12403		149417,3353193	62878,5222743	117899,27336555
911,68	0,29004	0,24127	0,24833		0,120635		149417,54638785	62878,70087975	117899,4561758
912,41	0,29392	0,23197	0,25165		0,115985		149417,75953325	62878,87361235	117899,6386685
913,14	0,29768	0,22796	0,24644		0,11398		149417,97546725	62879,0414868	117899,82047135
913,87	0,29688	0,21932	0,23822		0,10966		149418,19248165	62879,204744	117899,99737225
914,6	0,29583	0,21589	0,23162		0,107945		149418,4088208	62879,36359565	117900,16886385
915,33	0,29595	0,2096	0,22773		0,1048		149418,6248205	62879,5188995	117900,3365266
916,06	0,2973	0,2034	0,22463		0,1017		149418,84135675	62879,6696445	117900,501638
916,79	0,30142	0,2015	0,21788		0,10075		149419,05988955	62879,817433	117900,66315415
917,52	0,30052	0,19552	0,22076		0,09776		149419,27959765	62879,9623453	117900,82325775
918,25	0,29887	0,19145	0,21687		0,095725		149419,498375	62880,10358935	117900,9829927
918,98	0,29689	0,18461	0,21533		0,092305		149419,7158274	62880,24085125	117901,1407457
919,71	0,2939	0,17359	0,20659		0,086795		149419,93146575	62880,37159425	117901,2947465
920,44	0,28965	0,17081	0,20304		0,085405		149420,1444615	62880,49730025	117901,44426145
921,17	0,28695	0,15798	0,19817		0,07899		149420,3549205	62880,6173086	117901,5907031
921,9	0,28585	0,15351	0,19657		0,076755		149420,5639925	62880,73100245	117901,7347832
922,63	0,28868	0,1479	0,19602		0,07395		149420,77369595	62880,8410171	117901,87807855
923,36	0,29257	0,14394	0,19756		0,07197		149420,9858522	62880,9475387	117902,02173525
924,09	0,29272	0,14164	0,19757		0,07082		149421,19948305	62881,0517754	117902,1659577
924,82	0,29318	0,13157	0,19717		0,065785		149421,41333655	62881,15149705	117902,3100378
925,55	0,29924	0,13205	0,19604		0,066025		149421,62956985	62881,24771835	117902,45355945
926,28	0,30138	0,12847	0,19569		0,064235		149421,84879615	62881,34280815	117902,5965409
927,01	0,30716	0,1283	0,19773		0,06415		149422,07091325	62881,4365292	117902,7401392
927,74	0,3053	0,1267	0,19463		0,06335		149422,29446115	62881,5296042	117902,8833506
928,46	0,31084	0,12241	0,19269		0,061205		149422,51627155	62881,6192838	117903,0227858
929,19	0,31587	0,12666	0,19468		0,06333		149422,7450207	62881,71019435	117903,16417585
929,92	0,31965	0,12596	0,19963		0,06298		149422,9769855	62881,80240065	117903,308099
930,65	0,32117	0,1234	0,19817		0,0617		149423,2108848	62881,89341705	117903,453296
931,38	0,32337	0,12591	0,195		0,062955		149423,4461419	62881,9844152	117903,59680305
932,11	0,33225	0,12673	0,20135		0,063365		149423,6854432	62882,0766288	117903,7414708
932,84	0,33265	0,13093	0,203		0,065465		149423,9281317	62882,1706747	117903,88905855
933,56	0,341	0,12957	0,21012		0,064785		149424,1706457	62882,2644547	117904,03778175
934,29	0,34656	0,12889	0,21587		0,064445		149424,4216051	62882,3587926	117904,1932681
935,02	0,35714	0,13253	0,22414		0,066265		149424,6784556	62882,4542109	117904,35387175
935,75	0,37127	0,1361	0,23998		0,06805		149424,94432525	62882,55226085	117904,52327555
936,48	0,38477	0,14055	0,2522		0,070275		149425,22027985	62882,6532381	117904,70292125
937,2	0,39996	0,14591	0,26491		0,072955		149425,50278265	62882,7563637	117904,88908085
937,93	0,42201	0,14999	0,27364		0,074995		149425,8028017	62882,8643672	117905,0856516
938,66	0,4385	0,15752	0,28768		0,07876		149426,11688785	62882,97660835	117905,2905334
939,39	0,45389	0,15999	0,30259		0,079995		149426,4426102	62883,0924995	117905,50598195
940,11	0,46911	0,16497	0,30774		0,082485		149426,7748902	62883,2094851	117905,72570075
940,84	0,48968	0,17003	0,31903		0,085015		149427,12484855	62883,3317601	117905,9544718
941,57	0,49911	0,18011	0,32027		0,090055		149427,4857569	62883,4595612	117906,1878163
942,3	0,5159	0,18966	0,32883		0,09483		149427,85623555	62883,59452725	117906,4247378
943,02	0,52069	0,1854	0,33003		0,0927		149428,22940795	62883,72954885	117906,6619274
943,75	0,52891	0,19602	0,33688		0,09801		149428,61251195	62883,86876715	117906,90534955
944,48	0,52481	0,19588	0,33628		0,09794		149428,99711975	62884,01181065	117907,15105295
945,2	0,52562	0,19485	0,33546		0,097425		149429,37527455	62884,15247345	117907,39287935
945,93	0,51964	0,20438	0,33463		0,10219		149429,75679445	62884,2981924	117907,6374622
946,66	0,52329	0,19258	0,33536		0,09629		149430,1374639	62884,4430828	117907,88200855
947,39	0,52686	0,19626	0,3418		0,09813		149430,52076865	62884,5850094	117908,12917195
948,11	0,52112	0,18914	0,34241		0,09457		149430,89804145	62884,7237534	117908,37548755
948,84	0,50718	0,1839	0,33554		0,09195		149431,27337095	62884,859913	117908,6229393
949,57	0,5041	0,1825	0,33755		0,09125		149431,64248815	62884,993649	117908,86861715
950,29	0,49454	0,16968	0,32675		0,08484		149432,00199855	62885,1204338	117909,10776515
951,02	0,48615	0,16828	0,32348		0,08414		149432,3599504	62885,2437892	117909,3450991
951,74	0,4797	0,15887	0,32206		0,079435		149432,7076564	62885,3615632	117909,5774935
952,47	0,47963	0,15764	0,31042		0,07882		149433,05781185	62885,47708935	117909,8083487
953,2	0,47339	0,15418	0,30776		0,07709		149433,40566415	62885,59090365	117910,0339844
953,92	0,47477	0,14374	0,30776		0,07187		149433,74700175	62885,69815485	117910,2555716
954,65	0,46183	0,14724	0,30276		0,07362		149434,08886075	62885,80436255	117910,4784114
955,37	0,4566	0,14027	0,30342		0,070135		149434,41949555	62885,90786615	117910,6966362
956,1	0,4494	0,13464	0,29902		0,06732		149434,75018555	62886,0082083	117910,9165268
956,83	0,45414	0,13381	0,29948		0,066905		149435,07997765	62886,10619255	117911,1349793
957,55	0,4373	0,12157	0,29153		0,060785		149435,40089605	62886,19812935	117911,3477429
958,28	0,43485	0,12162	0,29257		0,06081		149435,7192308	62886,2868937	117911,5609394
959	0,4376	0,12241	0,29516		0,061205		149436,0333128	62886,3747445	117911,7725222
959,73	0,431	0,11931	0,28771		0,059655		149436,3503518	62886,4629723	117911,98526975
960,45	0,42637	0,11799	0,29698		0,058995		149436,659005	62886,5484003	117912,19575815
