							Integrated Y1	Integrated Y 2	Integrated Y 3
	20120613_Lumatec2_Filter0_5cm_geringe_Leitstung_0.7W.txt	20120613_Lumatec2_Filter3_5cm_geringe_Leistung_0.36W.txt	20120623_Lumatec2_Filter1_5cm_geringeLeistung_0.39W.txt		Lumatec 2 Filter 3 skaliert		20120613_Lumatec2_Filter0_5cm_geringe_Leitstung_0.7W.txt	20120613_Lumatec2_Filter3_5cm_geringe_Leistung_0.36W.txt	20120623_Lumatec2_Filter1_5cm_geringeLeistung_0.39W.txt
354,89	3,536	811,23	386,27		405,615		276,4506065	15679,6107065	7320,43910599999
355,68	3,6329	834,71	400,09		417,355		279,282322	16329,7570065	7631,051306
356,47	3,7311	864,03	417,32		432,015		282,191102	17000,7593065	7953,92825600001
357,26	3,8398	902,88	439,96		451,44		285,1816075	17698,6887565	8292,55385599999
358,05	3,956	956,32	470,31		478,16		288,2609485	18433,0727565	8652,110506
358,83	4,0841	1030,8	511,17		515,4		291,3965875	19208,0495565	9034,88770599999
359,62	4,2174	1132,7	564,38		566,35		294,67568	20062,6320565	9459,729956
360,41	4,3857	1253,6	622,91		626,8		298,0739045	21005,2205565	9928,70950600001
361,2	4,5494	1376,4	679,16		688,2		301,603269	22044,0705565	10443,027156
361,99	4,751	1507,9	740,83		753,95		305,276927	23183,3690565	11003,923206
362,77	4,9688	1655	813,1		827,5		309,067649	24416,9000565	11609,955906
363,56	5,2234	1809	891,04		904,5		313,093568	25785,1800565	12283,091206
364,35	5,5199	1959,3	968,62		979,65		317,3371715	27273,6585565	13017,656906
365,14	5,8619	2096,9	1040,2		1048,45		321,8329825	28875,8575565	13811,140806
365,92	6,252	2216,2	1102		1108,1		326,5574035	30557,9665565	14646,598806
366,71	6,7051	2310,3	1150,6		1155,15		331,675458	32345,9340564999	15536,375806
367,5	7,1965	2370,9	1182,5		1185,45		337,16659	34195,0080565	16457,950306
368,28	7,73	2393,2	1196,9		1196,6		342,987925	36053,0070564999	17385,916306
369,07	8,3037	2385,7	1200,6		1192,85		349,3212365	37940,6725565	18332,928806
369,86	8,9387	2365	1201		1182,5		356,1319845	39817,1990565	19281,560806
370,64	9,6289	2324,5	1190,4		1162,25		363,3733485	41646,1040565	20214,206806
371,43	10,38	2258	1164,5		1129		371,276864	43456,1915565	21144,392306
372,22	11,193	2173,6	1127,7		1086,8		379,798199	45206,6735565001	22049,811306
373	12,059	2079,4	1084,9		1039,7		388,866479	46865,3435565	22912,725306
373,79	12,966	1980	1039,6		990		398,751354	48468,8065565	23751,902806
374,58	13,909	1877	993,88		938,5		409,366979	49992,3215565	24555,127406
375,36	14,885	1771,5	949,1		885,75		420,596639	51415,2365565	25312,889606
376,15	15,942	1663,8	906,93		831,9		432,773304	52772,1800565	26046,021456
376,94	17,093	1552,4	868,85		776,2		445,822129	54042,5790565	26747,454556
377,72	18,341	1433,2	835,37		716,6		459,641389	55206,9630565	27412,100356
378,51	19,636	1302,9	805,45		651,45		474,642304	56287,7225565	28060,224256
379,29	21,016	1163,7	779,19		581,85		490,496584	57249,6965565	28678,233856
380,08	22,489	1020,4	756,63		510,2		507,681059	58112,4160565	29284,882756
380,87	24,025	877,47	737,35		438,735		526,054089	58862,0747065	29875,004856
381,65	25,649	739,15	721,25		369,575		545,426948999999	59492,5565065	30443,858856
382,44	27,355	607,7	707,77		303,85		566,363529	60024,5622565	31008,321756
383,22	29,159	483,91	695,61		241,955		588,403989000001	60450,2901565	31555,639956
384,01	31,118	370,08	684,95		185,04		612,213404	60787,6162065	32100,961156
384,79	33,254	269,94	675,85		134,97		637,318484	61037,2240065	32631,673156
385,58	35,743	186,02	667,86		93,01		664,572298999999	61217,3282065	33162,438606
386,36	38,708	120,55	659,93		60,275		693,608189	61336,8905065	33680,276706
387,15	42,406	74,166	651,74		37,083		725,648218999999	61413,8033265	34198,386356
387,93	47,08	44,945	643,03		22,4725		760,547759	61460,2566165	34703,346656
388,72	52,951	28,093	633,25		14,0465		800,060004000001	61489,1066265	35207,477256
389,5	60,248	18,771	624,22		9,3855		844,207614	61507,3835865	35697,890556
390,29	68,952	13,6	617,6		6,8		895,241614000001	61520,1701315	36188,409456
391,07	78,797	10,612	613,13		5,306		952,863723999999	61529,6128115	36668,394156
391,86	89,596	8,7692	610,91		4,3846		1019,378959	61537,2683855	37151,889956
392,64	101,31	7,5486	610,05		3,7743		1093,832299	61543,6323275	37628,064356
393,43	113,98	6,6494	609,3		3,3247		1178,871849	61549,2405375	38109,707606
394,21	127,92	5,9613	608,28		2,98065		1273,212849	61554,1587105	38584,563806
395	144,08	5,4005	608,86		2,70025		1380,652849	61558,6466215	39065,334106
395,78	163,95	4,9445	613,61		2,47225		1500,784549	61562,6811715	39542,097406
396,56	188,91	4,5717	623,2		2,28585		1638,399949	61566,3924895	40024,453306
397,35	220,86	4,2525	638,19		2,12625		1800,259099	61569,8780485	40522,702356
398,13	263,46	3,9788	660,69		1,9894		1989,143899	61573,0882555	41029,265556
398,92	324,1	3,728	696,53		1,864		2221,230099	61576,1324415	41565,367456
399,7	414,61	3,5162	756,83		1,7581		2509,32699899999	61578,9576795	42132,177856
400,48	539,75	3,3426	843,52		1,6713		2881,52739900001	61581,6326115	42756,314356
401,27	689,32	3,154	950,1		1,577		3367,01004899999	61584,1987685	43464,794256
402,05	841,94	2,9773	1059,5		1,48865		3964,20144900001	61586,5899755	44248,538256
402,84	981,07	2,8125	1157,5		1,40625		4684,29039899998	61588,8769465	45124,253256
403,62	1099,6	2,668	1238		1,334		5495,75169900001	61591,0143415	46058,498256
404,4	1198,2	2,5481	1302,3		1,27405		6391,89369899998	61593,0486205	47049,215256
