JS591_exc370_20nm slit each_slow,,
Wavelength (nm),Intensity (a.u.),
Stop (nm)                         700.00
Ex. Wavelength (nm)               370.00
Ex. Slit (nm)                     20
Em. Slit (nm)                     20
Scan rate (nm/min)                120.00
Data interval (nm)                1.0000
Averaging Time (s)                0.5000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   Medium
Corrected spectra                 OFF
Method Log     :
Method Name    : E:\Fluoreszenz\Jacob Schneidewind\JS591_exc370_20nm slit each.FBSW
Date/Time stamp: 24/01/2020 09:29:32
Method Modifications:
Scan Control Changed: 24/01/2020 09:24:27, Old:Medium, New:Fast
Excitation Wavelength Changed: 24/01/2020 09:24:27, Old: 350.00, New: 370.00
Data interval: Changed: 24/01/2020 09:24:27, Old:   1.00, New:   2.00
Emission Wavelength Changed: 24/01/2020 09:24:27, Old: 400.00, New: 390.00
Stop Wavelength Changed: 24/01/2020 09:24:27, Old: 600.00, New: 700.00
Ex. Slit Width (nm): Changed: 24/01/2020 09:26:05, Old:5, New:20
Em. Slit Width (nm): Changed: 24/01/2020 09:26:05, Old:5, New:20
Scan Control Changed: 24/01/2020 09:30:25, Old:Fast, New:Slow
Ave. time (s): Changed: 24/01/2020 09:30:25, Old:0.10000, New:0.50000
Data interval: Changed: 24/01/2020 09:30:25, Old:   2.00, New:   1.00
End Method Modifications

